TimeGenerated,DeviceName,Username,IpAddress,ActionType,RawData
"Sep 2, 2026 6:06:55 PM",datafiles-corp-s01,,,LogonSuccess,2026-09-02T22:06:55.311669Z    82 Connect 
"Sep 2, 2026 6:06:52 PM",datafiles-corp-s01,,,LogonSuccess,2026-09-02T22:06:52.135286Z    81 Connect 
"Sep 2, 2026 5:22:40 PM",datafiles-corp-s01,root,77.90.185.30,LogonSuccess,2026-09-02T21:22:40.536183Z    80 Connect root@77.90.185.30 on  using SSL/TLS
"Sep 2, 2026 5:22:40 PM",datafiles-corp-s01,sa,77.90.185.30,LogonFailure,2026-09-02T21:22:39.972841Z    79 Connect Access denied for user 'sa'@'77.90.185.30' (using password: NO)
"Sep 2, 2026 5:22:39 PM",datafiles-corp-s01,admin,77.90.185.30,LogonFailure,2026-09-02T21:22:39.407622Z    78 Connect Access denied for user 'admin'@'77.90.185.30' (using password: NO)
"Sep 2, 2026 5:22:38 PM",datafiles-corp-s01,root,77.90.185.30,LogonFailure,2026-09-02T21:22:38.722337Z    77 Connect Access denied for user 'root'@'77.90.185.30' (using password: NO)
"Sep 2, 2026 4:04:25 PM",datafiles-corp-s01,root,77.90.185.30,LogonSuccess,2026-09-02T20:04:24.991215Z    75 Connect root@77.90.185.30 on  using SSL/TLS
"Sep 2, 2026 4:04:24 PM",datafiles-corp-s01,sa,77.90.185.30,LogonFailure,2026-09-02T20:04:24.427863Z    74 Connect Access denied for user 'sa'@'77.90.185.30' (using password: NO)
"Sep 2, 2026 4:04:24 PM",datafiles-corp-s01,admin,77.90.185.30,LogonFailure,2026-09-02T20:04:23.863244Z    73 Connect Access denied for user 'admin'@'77.90.185.30' (using password: NO)
"Sep 2, 2026 4:04:23 PM",datafiles-corp-s01,root,77.90.185.30,LogonFailure,2026-09-02T20:04:23.181173Z    72 Connect Access denied for user 'root'@'77.90.185.30' (using password: NO)
"Sep 2, 2026 4:04:18 PM",datafiles-corp-s01,root,77.90.185.21,LogonSuccess,2026-09-02T20:04:17.946704Z    70 Connect root@77.90.185.21 on  using SSL/TLS
"Sep 2, 2026 4:04:17 PM",datafiles-corp-s01,admin,77.90.185.21,LogonFailure,2026-09-02T20:04:16.822718Z    68 Connect Access denied for user 'admin'@'77.90.185.21' (using password: NO)
"Sep 2, 2026 4:04:17 PM",datafiles-corp-s01,sa,77.90.185.21,LogonFailure,2026-09-02T20:04:17.377205Z    69 Connect Access denied for user 'sa'@'77.90.185.21' (using password: NO)
"Sep 2, 2026 4:04:16 PM",datafiles-corp-s01,root,77.90.185.21,LogonFailure,2026-09-02T20:04:16.165733Z    67 Connect Access denied for user 'root'@'77.90.185.21' (using password: NO)
