TimeGenerated,ActionType,RemoteIP,RemotePort,RemoteUrl,Protocol,InitiatingProcessAccountName,InitiatingProcessFileName
"Sep 1, 2026 11:32:50 AM",ConnectionAcknowledged,13.89.179.12,443,,TcpV4,,
"Sep 1, 2026 11:32:50 AM",ConnectionAcknowledged,4.150.223.102,443,,TcpV4,,
"Sep 1, 2026 11:34:26 AM",ConnectionAcknowledged,20.42.73.28,443,,TcpV4,,
"Sep 1, 2026 11:35:41 AM",ConnectionFailed,::1,5985,,Tcp,system,svchost.exe
"Sep 1, 2026 11:35:43 AM",ConnectionFailed,127.0.0.1,5985,,Tcp,system,svchost.exe
"Sep 1, 2026 11:35:45 AM",ConnectionSuccess,150.171.109.72,443,,Tcp,system,svchost.exe
"Sep 1, 2026 11:35:45 AM",ConnectionSuccess,23.53.11.16,443,oneclient.sfx.ms,Tcp,system,svchost.exe
"Sep 1, 2026 11:35:45 AM",ConnectionSuccess,52.123.247.81,443,ecs.office.com,Tcp,mac,onedrivestandaloneupdater.exe
"Sep 1, 2026 11:35:46 AM",ConnectionAcknowledged,23.53.11.16,443,,TcpV4,,
"Sep 1, 2026 11:36:28 AM",ConnectionAcknowledged,20.184.175.15,443,,TcpV4,,
"Sep 1, 2026 11:36:28 AM",SslConnectionInspected,20.184.175.15,443,,Tcp,,
"Sep 1, 2026 11:38:01 AM",ConnectionSuccess,150.171.22.17,443,,Tcp,mac,msedgewebview2.exe
"Sep 1, 2026 11:38:01 AM",ConnectionSuccess,23.204.243.65,443,,Tcp,mac,msedgewebview2.exe
"Sep 1, 2026 11:38:02 AM",ConnectionAcknowledged,150.171.22.17,443,,TcpV4,,
"Sep 1, 2026 11:38:02 AM",ConnectionAcknowledged,2.18.67.82,443,,TcpV4,,
"Sep 1, 2026 11:38:02 AM",ConnectionAcknowledged,23.204.243.65,443,,TcpV4,,
"Sep 1, 2026 11:38:03 AM",ConnectionSuccess,23.53.11.132,443,,Tcp,mac,msedgewebview2.exe
"Sep 1, 2026 11:38:04 AM",ConnectionAcknowledged,23.53.11.132,443,,TcpV4,,
"Sep 1, 2026 11:38:07 AM",ConnectionAcknowledged,13.83.125.0,443,,TcpV4,,
"Sep 1, 2026 11:38:31 AM",ConnectionAcknowledged,20.42.65.89,443,,TcpV4,,
"Sep 1, 2026 11:47:14 AM",ConnectionAcknowledged,13.89.179.15,443,,TcpV4,,
"Sep 1, 2026 11:47:39 AM",ConnectionSuccess,20.184.175.7,443,us-v20.events.endpoint.security.microsoft.com,Tcp,system,mpdefendercoreservice.exe
"Sep 1, 2026 11:48:09 AM",ConnectionSuccess,23.53.11.144,443,www.bing.com,Tcp,mac,systemsettings.exe
"Sep 1, 2026 11:48:11 AM",ConnectionAcknowledged,23.53.11.144,443,,TcpV4,,
"Sep 1, 2026 11:51:17 AM",ConnectionSuccess,23.35.30.34,443,,Tcp,mac,msedgewebview2.exe
"Sep 1, 2026 11:51:17 AM",ConnectionSuccess,23.221.240.9,443,,Tcp,mac,msedgewebview2.exe
"Sep 1, 2026 11:51:17 AM",ConnectionAcknowledged,23.35.30.34,443,,TcpV4,,
"Sep 1, 2026 11:51:17 AM",ConnectionAcknowledged,23.221.240.9,443,,TcpV4,,
"Sep 1, 2026 11:51:17 AM",DnsConnectionInspected,168.63.129.16,53,,Udp,,
"Sep 1, 2026 11:51:37 AM",ConnectionAcknowledged,20.42.73.25,443,,TcpV4,,
"Sep 1, 2026 11:53:50 AM",ConnectionAcknowledged,20.242.181.1,443,,TcpV4,,
"Sep 1, 2026 11:54:02 AM",ConnectionSuccess,20.42.73.24,443,self.events.data.microsoft.com,Tcp,mac,onedrive.exe
"Sep 1, 2026 11:56:51 AM",ConnectionSuccess,23.53.11.134,443,,Tcp,mac,msedgewebview2.exe
"Sep 1, 2026 11:56:51 AM",ConnectionAcknowledged,23.53.11.134,443,,TcpV4,,
"Sep 1, 2026 11:56:53 AM",ConnectionSuccess,20.10.127.192,443,edr-eus3.us.endpoint.security.microsoft.com,Tcp,local service,sensesampleuploader.exe
"Sep 1, 2026 11:57:11 AM",ListeningConnectionCreated,,,,TcpV4,network service,svchost.exe
"Sep 1, 2026 11:57:11 AM",ListeningConnectionCreated,,,,TcpV6,network service,svchost.exe
"Sep 1, 2026 11:57:56 AM",ConnectionAcknowledged,20.184.175.3,443,,TcpV4,,
"Sep 1, 2026 11:59:13 AM",ConnectionAttempt,216.180.246.133,21665,,TcpV4,,
"Sep 1, 2026 11:59:27 AM",ConnectionAttempt,193.163.125.143,51363,,TcpV4,,
"Sep 1, 2026 11:59:43 AM",ConnectionAttempt,3.151.116.231,61234,,TcpV4,,
"Sep 1, 2026 11:59:45 AM",ConnectionAttempt,94.154.43.249,33805,,TcpV4,,
"Sep 1, 2026 11:59:47 AM",ConnectionAttempt,139.135.192.30,57300,,TcpV4,,
"Sep 1, 2026 11:59:47 AM",ConnectionAttempt,130.12.180.246,57745,,TcpV4,,
"Sep 1, 2026 11:59:59 AM",ConnectionAcknowledged,20.184.175.22,443,,TcpV4,,
"Sep 1, 2026 11:59:59 AM",SslConnectionInspected,20.184.175.22,443,,Tcp,,
"Sep 1, 2026 12:00:23 PM",ConnectionAttempt,35.203.210.222,53629,,TcpV4,,
"Sep 1, 2026 12:00:43 PM",ConnectionAcknowledged,4.150.223.106,443,,TcpV4,,
"Sep 1, 2026 12:00:43 PM",SslConnectionInspected,4.150.223.106,443,,Tcp,,
"Sep 1, 2026 12:00:51 PM",ConnectionAttempt,47.77.233.162,22935,,TcpV4,,
"Sep 1, 2026 12:00:55 PM",ConnectionAttempt,113.221.14.233,52657,,TcpV4,,
"Sep 1, 2026 12:00:55 PM",ConnectionAttempt,175.30.48.90,40944,,TcpV4,,
"Sep 1, 2026 12:00:57 PM",ConnectionAttempt,66.132.186.86,27573,,TcpV4,,
"Sep 1, 2026 12:01:03 PM",ConnectionAttempt,192.81.131.71,58180,,TcpV4,,
"Sep 1, 2026 12:01:05 PM",ConnectionAttempt,117.80.109.137,43470,,TcpV4,,
"Sep 1, 2026 12:01:13 PM",ConnectionAttempt,35.203.210.233,55574,,TcpV4,,
"Sep 1, 2026 12:01:15 PM",ConnectionAttempt,78.128.114.46,49423,,TcpV4,,
"Sep 1, 2026 12:01:17 PM",ConnectionAttempt,219.248.115.178,38381,,TcpV4,,
"Sep 1, 2026 12:01:31 PM",ConnectionAcknowledged,4.150.223.114,443,,TcpV4,,
"Sep 1, 2026 12:01:32 PM",ConnectionSuccess,20.10.127.193,443,edr-eus3.us.endpoint.security.microsoft.com,Tcp,local service,sensesampleuploader.exe
"Sep 1, 2026 12:01:47 PM",ConnectionAttempt,35.203.211.43,50246,,TcpV4,,
"Sep 1, 2026 12:01:51 PM",ConnectionAttempt,130.12.180.246,43577,,TcpV4,,
"Sep 1, 2026 12:02:00 PM",ConnectionAcknowledged,20.184.175.17,443,,TcpV4,,
"Sep 1, 2026 12:02:09 PM",ConnectionAttempt,79.124.40.162,41636,,TcpV4,,
"Sep 1, 2026 12:02:17 PM",ConnectionAttempt,36.50.176.139,53730,,TcpV4,,
"Sep 1, 2026 12:02:25 PM",ConnectionAttempt,18.217.208.51,61234,,TcpV4,,
"Sep 1, 2026 12:02:27 PM",ConnectionAttempt,35.203.211.180,54149,,TcpV4,,
"Sep 1, 2026 12:02:37 PM",ConnectionAttempt,79.124.59.182,41601,,TcpV4,,
"Sep 1, 2026 12:02:49 PM",ConnectionSuccess,51.11.192.48,443,,Tcp,system,svchost.exe
"Sep 1, 2026 12:02:50 PM",ConnectionAcknowledged,51.11.192.48,443,,TcpV4,,
"Sep 1, 2026 12:02:50 PM",SslConnectionInspected,51.11.192.48,443,,Tcp,,
"Sep 1, 2026 12:02:56 PM",ConnectionAttempt,130.12.180.246,35903,,TcpV4,,
"Sep 1, 2026 12:03:10 PM",ConnectionAttempt,65.49.1.205,59749,,TcpV4,,
"Sep 1, 2026 12:03:20 PM",ConnectionAttempt,20.163.10.17,56602,,TcpV4,,
"Sep 1, 2026 12:03:42 PM",ConnectionAttempt,185.242.3.226,18303,,TcpV4,,
"Sep 1, 2026 12:04:02 PM",ConnectionAcknowledged,52.168.112.67,443,,TcpV4,,
"Sep 1, 2026 12:04:08 PM",ConnectionAttempt,184.105.247.238,45928,,TcpV4,,
"Sep 1, 2026 12:04:08 PM",ConnectionAttempt,79.124.49.90,49428,,TcpV4,,
"Sep 1, 2026 12:04:16 PM",InboundConnectionAccepted,65.49.1.202,54396,,Tcp,local service,svchost.exe
"Sep 1, 2026 12:04:18 PM",ConnectionAttempt,65.49.1.202,54396,,TcpV4,,
"Sep 1, 2026 12:04:28 PM",ConnectionAttempt,167.94.145.31,50625,,TcpV4,,
"Sep 1, 2026 12:04:40 PM",ConnectionAttempt,130.12.180.246,54353,,TcpV4,,
"Sep 1, 2026 12:04:50 PM",ConnectionAttempt,20.127.146.109,50642,,TcpV4,,
"Sep 1, 2026 12:04:54 PM",ConnectionAttempt,91.231.89.131,26272,,TcpV4,,
"Sep 1, 2026 12:05:02 PM",ConnectionSuccess,52.123.251.72,443,ecs.office.com,Tcp,system,mpdefendercoreservice.exe
"Sep 1, 2026 12:05:02 PM",ConnectionAcknowledged,52.123.251.72,443,,TcpV4,,
"Sep 1, 2026 12:05:08 PM",ConnectionAttempt,192.161.49.2,51152,,TcpV4,,
"Sep 1, 2026 12:05:10 PM",InboundConnectionAccepted,::ffff:184.105.247.252,42778,,Tcp,network service,mysqld.exe
"Sep 1, 2026 12:05:10 PM",ConnectionAttempt,184.105.247.252,42778,,TcpV4,,
"Sep 1, 2026 12:05:10 PM",DnsConnectionInspected,168.63.129.16,53,,Udp,,
"Sep 1, 2026 12:05:10 PM",DnsConnectionInspected,168.63.129.16,53,,Udp,,
"Sep 1, 2026 12:05:12 PM",ConnectionAttempt,78.128.114.46,49423,,TcpV4,,
"Sep 1, 2026 12:05:22 PM",ConnectionAttempt,57.151.128.80,60416,,TcpV4,,
"Sep 1, 2026 12:05:22 PM",ConnectionAttempt,57.151.128.80,60417,,TcpV4,,
"Sep 1, 2026 12:05:22 PM",ConnectionAttempt,57.151.128.80,60416,,TcpV4,,
"Sep 1, 2026 12:05:22 PM",ConnectionAttempt,57.151.128.80,60417,,TcpV4,,
