TimeGenerated,AccountName,FileName,ProcessCommandLine,InitiatingProcessFileName,InitiatingProcessCommandLine,FolderPath
"Sep 2, 2026 8:23:59 PM",system,MicrosoftEdgeUpdate.exe,"""MicrosoftEdgeUpdate.exe"" /ua /installsource core",microsoftedgeupdate.exe,"""MicrosoftEdgeUpdate.exe"" /c",C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe
"Sep 2, 2026 8:14:05 PM",system,cmd.exe,cmd.exe,collectguestlogs.exe,"""CollectGuestLogs.exe"" -Mode:ga -FileName:C:\WindowsAzure\CollectGuestLogsTemp\VMAgentLogs.zip",C:\Windows\System32\cmd.exe
"Sep 2, 2026 8:13:56 PM",system,conhost.exe,conhost.exe 0xffffffff -ForceV1,collectguestlogs.exe,"""CollectGuestLogs.exe"" -Mode:ga -FileName:C:\WindowsAzure\CollectGuestLogsTemp\VMAgentLogs.zip",C:\Windows\System32\conhost.exe
"Sep 2, 2026 8:13:56 PM",system,CollectGuestLogs.exe,"""CollectGuestLogs.exe"" -Mode:ga -FileName:C:\WindowsAzure\CollectGuestLogsTemp\VMAgentLogs.zip",waappagent.exe,WaAppAgent.exe,C:\WindowsAzure\Packages\CollectGuestLogs.exe
"Sep 2, 2026 8:13:55 PM",system,conhost.exe,conhost.exe 0xffffffff -ForceV1,findvolume.exe,"""FindVolume.exe"" /label ""Temporary Storage""",C:\Windows\System32\conhost.exe
"Sep 2, 2026 8:13:55 PM",system,FindVolume.exe,"""FindVolume.exe"" /label ""Temporary Storage""",waappagent.exe,WaAppAgent.exe,C:\WindowsAzure\Packages\FindVolume\FindVolume.exe
"Sep 2, 2026 8:12:08 PM",system,MoUsoCoreWorker.exe,"""MoUsoCoreWorker.exe"" useprivatenamespaces",svchost.exe,svchost.exe -k netsvcs -p -s UsoSvc,C:\Windows\UUS\amd64\MoUsoCoreWorker.exe
"Sep 2, 2026 8:10:52 PM",system,WmiPrvSE.exe,wmiprvse.exe -Embedding,svchost.exe,svchost.exe -k DcomLaunch -p,C:\Windows\System32\wbem\WmiPrvSE.exe
"Sep 2, 2026 8:10:01 PM",system,Microsoft.Data.UsageAndQualityInsights.MaintenanceTask.exe,Microsoft.Data.UsageAndQualityInsights.MaintenanceTask.exe,svchost.exe,svchost.exe -k netsvcs -p -s Schedule,C:\Windows\System32\Microsoft.Data.UsageAndQualityInsights.MaintenanceTask.exe
"Sep 2, 2026 8:10:00 PM",system,wermgr.exe,"""wermgr.exe"" -upload",svchost.exe,svchost.exe -k netsvcs -p -s Schedule,C:\Windows\System32\wermgr.exe
"Sep 2, 2026 8:08:14 PM",system,conhost.exe,conhost.exe 0xffffffff -ForceV1,sdbinst.exe,sdbinst.exe -m -bg,C:\Windows\System32\conhost.exe
"Sep 2, 2026 8:08:14 PM",system,sdbinst.exe,sdbinst.exe -m -bg,svchost.exe,svchost.exe -k LocalSystemNetworkRestricted -p -s PcaSvc,C:\Windows\System32\sdbinst.exe
"Sep 2, 2026 8:00:01 PM",system,wsqmcons.exe,wsqmcons.exe,svchost.exe,svchost.exe -k netsvcs -p -s Schedule,C:\Windows\System32\wsqmcons.exe
"Sep 2, 2026 8:00:01 PM",system,Microsoft.Data.UsageAndQualityInsights.MaintenanceTask.exe,Microsoft.Data.UsageAndQualityInsights.MaintenanceTask.exe,svchost.exe,svchost.exe -k netsvcs -p -s Schedule,C:\Windows\System32\Microsoft.Data.UsageAndQualityInsights.MaintenanceTask.exe
