TimeGenerated,ActionType,RegistryKey,RegistryValueName,RegistryValueData,InitiatingProcessAccountName,InitiatingProcessFileName
"Sep 2, 2026 8:10:53 PM",RegistryKeyCreated,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Elements\25000004,,,network service,wmiprvse.exe
"Sep 2, 2026 8:10:53 PM",RegistryKeyCreated,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Elements\24000001,,,network service,wmiprvse.exe
"Sep 2, 2026 8:10:53 PM",RegistryKeyDeleted,,,,network service,wmiprvse.exe
"Sep 2, 2026 8:10:53 PM",RegistryKeyCreated,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba},,,network service,wmiprvse.exe
"Sep 2, 2026 8:10:53 PM",RegistryKeyDeleted,,,,network service,wmiprvse.exe
"Sep 2, 2026 8:10:53 PM",RegistryKeyDeleted,,,,network service,wmiprvse.exe
"Sep 2, 2026 8:10:53 PM",RegistryKeyDeleted,,,,network service,wmiprvse.exe
"Sep 2, 2026 8:10:53 PM",RegistryKeyDeleted,,,,network service,wmiprvse.exe
"Sep 2, 2026 8:10:53 PM",RegistryKeyCreated,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Description,,,network service,wmiprvse.exe
"Sep 2, 2026 8:10:53 PM",RegistryKeyCreated,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Elements,,,network service,wmiprvse.exe
"Sep 2, 2026 8:10:53 PM",RegistryKeyCreated,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{0c5b8103-93d0-11f1-8f67-806e6f6e6963}\Elements\11000001,,,network service,wmiprvse.exe
"Sep 2, 2026 8:10:53 PM",RegistryKeyDeleted,,,,network service,wmiprvse.exe
"Sep 2, 2026 8:10:53 PM",RegistryKeyCreated,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{9dea862c-5cdd-4e70-acc1-f32b344d4795}\Elements\12000002,,,network service,wmiprvse.exe
"Sep 2, 2026 8:10:53 PM",RegistryKeyDeleted,,,,network service,wmiprvse.exe
"Sep 2, 2026 8:10:53 PM",RegistryKeyCreated,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{9dea862c-5cdd-4e70-acc1-f32b344d4795}\Elements\11000001,,,network service,wmiprvse.exe
"Sep 2, 2026 8:10:53 PM",RegistryKeyDeleted,,,,network service,wmiprvse.exe
"Sep 2, 2026 8:10:53 PM",RegistryKeyCreated,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Elements\25000004,,,network service,wmiprvse.exe
"Sep 2, 2026 8:10:53 PM",RegistryKeyCreated,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Elements\24000001,,,network service,wmiprvse.exe
"Sep 2, 2026 8:10:53 PM",RegistryKeyDeleted,,,,network service,wmiprvse.exe
"Sep 2, 2026 8:10:53 PM",RegistryKeyDeleted,,,,network service,wmiprvse.exe
"Sep 2, 2026 8:10:53 PM",RegistryKeyDeleted,,,,network service,wmiprvse.exe
"Sep 2, 2026 8:10:53 PM",RegistryKeyCreated,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Elements,,,network service,wmiprvse.exe
"Sep 2, 2026 8:10:53 PM",RegistryKeyCreated,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba},,,network service,wmiprvse.exe
"Sep 2, 2026 8:10:53 PM",RegistryKeyDeleted,,,,network service,wmiprvse.exe
"Sep 2, 2026 8:10:53 PM",RegistryKeyCreated,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Description,,,network service,wmiprvse.exe
"Sep 2, 2026 8:10:53 PM",RegistryKeyDeleted,,,,network service,wmiprvse.exe
"Sep 2, 2026 8:10:53 PM",RegistryKeyCreated,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{9dea862c-5cdd-4e70-acc1-f32b344d4795}\Elements\12000002,,,network service,wmiprvse.exe
"Sep 2, 2026 8:10:53 PM",RegistryKeyDeleted,,,,network service,wmiprvse.exe
