Current Time,Command Name,Command Line,Status,hError
[2026-09-03T01:49:42Z],WdSupportLogs,"C:\Windows\system32\cmd.exe /C """"%ProgramFiles%\Windows Defender\mpcmdrun.exe"" -GetFiles & copy ""%programdata%\Microsoft\Windows Defender\Support\MPSupportFiles.cab"" ""C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\Temp\CollectedData\60ff6fb5-a5b4-451d-964c-862401bc7e06\WdSupportLogs"" """,Completed,0
[2026-09-03T01:49:42Z],hkcu_Software_Microsoft_Windows_Explorer_RunMRU,"C:\Windows\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-1182323251-63060258-113523888-500\SOFTWARE\Microsoft\Windows\Explorer\RunMRU"" /s",Completed,0
[2026-09-03T01:49:42Z],hkcu_Software_Microsoft_Windows_Explorer_RunMRU,"C:\Windows\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-1182323251-63060258-113523888-504\SOFTWARE\Microsoft\Windows\Explorer\RunMRU"" /s",Completed,0
[2026-09-03T01:49:42Z],hkcu_Software_Microsoft_Windows_Explorer_RunMRU,"C:\Windows\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-1182323251-63060258-113523888-1000\SOFTWARE\Microsoft\Windows\Explorer\RunMRU"" /s",Completed,0
[2026-09-03T01:49:42Z],TempDirFiles,"C:\Windows\system32\cmd.exe /C ""dir /A /Q /S /T ""C:\Users\Mac\AppData\Local\Temp""",Completed,0
[2026-09-03T01:49:42Z],TempDirFiles,"C:\Windows\system32\cmd.exe /C ""dir /A /Q /S /T ""C:\Users\WDAGUtilityAccount\AppData\Local\Temp""",Completed,0
[2026-09-03T01:49:42Z],TempDirFiles,"C:\Windows\system32\cmd.exe /C ""dir /A /Q /S /T ""C:\Users\administrator\AppData\Local\Temp""",Completed,0
[2026-09-03T01:49:42Z],ActiveNetConnections,"C:\Windows\system32\netstat.exe -abno",Completed,0
[2026-09-03T01:49:45Z],ScheduledTasks,"C:\Windows\system32\schtasks.exe /query /v /fo CSV",Completed,0
[2026-09-03T01:49:45Z],UserInstalledPrograms,"C:\Windows\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-1182323251-63060258-113523888-500\Software\Microsoft\Windows\CurrentVersion\Uninstall"" /s",Completed,0
[2026-09-03T01:49:45Z],UserInstalledPrograms,"C:\Windows\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-1182323251-63060258-113523888-504\Software\Microsoft\Windows\CurrentVersion\Uninstall"" /s",Completed,0
[2026-09-03T01:49:45Z],UserInstalledPrograms,"C:\Windows\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-1182323251-63060258-113523888-1000\Software\Microsoft\Windows\CurrentVersion\Uninstall"" /s",Completed,0
[2026-09-03T01:49:45Z],Wow6432NodeInstalledPrograms,"C:\Windows\system32\reg.exe QUERY ""hklm\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall"" /s",Completed,0
[2026-09-03T01:49:45Z],InstalledPrograms,"C:\Windows\system32\reg.exe QUERY ""hklm\Software\Microsoft\Windows\CurrentVersion\Uninstall"" /s",Completed,0
